index,id,car_year,brand,brand_cod,model,model_cod,version,engine,engine_power,doors,km,fuel_type,fuel_type_cod,traction_control,traction_control_cod,passenger_capacity,transmission,transmission_cod,usd_price,is_car_shop,seller_country,seller_state,seller_city,Latitude,longitude
0,MLA1767503710,2008,Volkswagen,7,Gol,27,1.9 Sd Power 701,1.9,64.0,3,129069,Diésel,0,Delantera,2,5.0,Manual,2,5200.0,0,Argentina,Buenos Aires,Avellaneda,-34.6648394,-58.3628061
1,MLA1776550792,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,137000,Nafta,4,Delantera,2,5.0,Manual,2,6250.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
2,MLA1776084372,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,140000,Nafta,4,Delantera,2,5.0,Manual,2,6000.0,0,Argentina,Buenos Aires,San Isidro,-34.4739792,-58.5264866
3,MLA1425944383,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,83.0,3,141000,Nafta,4,Delantera,2,5.0,Manual,2,5000.0,0,Argentina,Buenos Aires,Vicente López,-34.5244484,-58.5036282
4,MLA1767262702,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,112192,Nafta,4,Delantera,2,5.0,Manual,2,5577.689243027889,0,Argentina,Buenos Aires,Morón,-34.6510527,-58.6217416
5,MLA1426674959,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,116000,Nafta,4,Delantera,2,5.0,Manual,2,6500.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
6,MLA1751906634,2013,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,75000,Nafta,4,Delantera,2,5.0,Manual,2,7800.0,0,Argentina,Buenos Aires,Lanús,-34.7033363,-58.3953235
7,MLA1756499432,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,169000,Nafta,4,Delantera,2,5.0,Manual,2,6000.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
8,MLA1425720523,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,5,119000,Nafta,4,Delantera,2,5.0,Manual,2,7000.0,0,Argentina,Buenos Aires,Pilar,-34.4570918,-58.9141609
9,MLA1424790507,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,159000,Nafta,4,Delantera,2,5.0,Manual,2,6700.0,0,Argentina,Buenos Aires,Moreno,-34.6396556,-58.7898326
10,MLA1767504976,2011,Volkswagen,7,Gol,27,Gol power 1.4 l,1.4,83.0,5,105000,Nafta,4,Delantera,2,5.0,Manual,2,6400.0,0,Argentina,Buenos Aires,Almirante Brown,-34.5796344,-60.9677445
11,MLA1417762569,2011,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,105000,Nafta,4,Delantera,2,5.0,Manual,2,5179.282868525896,0,Argentina,Buenos Aires,Moreno,-34.6396556,-58.7898326
12,MLA1420182123,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,151621,Nafta,4,Delantera,2,5.0,Manual,2,5400.0,0,Argentina,Buenos Aires,Ituzaingó,-34.6583293,-58.6671441
13,MLA1777654638,2011,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,135000,Nafta,4,Delantera,2,5.0,Manual,2,4541.832669322709,0,Argentina,Buenos Aires,Lanús,-34.7033363,-58.3953235
14,MLA1781270954,1995,Volkswagen,7,Gol,27,1.6 Gl,1.6,90.0,3,111111,Nafta,4,Delantera,2,5.0,Manual,2,15000.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
15,MLA1758691362,2007,Volkswagen,7,Gol,27,1.6 I Comfortline 60a,1.6,92.0,5,105000,Nafta,4,Delantera,2,5.0,Manual,2,4800.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
16,MLA1427703529,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,3,97000,Nafta,4,Delantera,2,5.0,Manual,2,6800.0,0,Argentina,Buenos Aires,Lanús,-34.7033363,-58.3953235
17,MLA1421500419,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,3,170000,Nafta/GNC,5,Delantera,2,5.0,Manual,2,6500.0,0,Argentina,Córdoba,Córdoba,-31.4166867,-64.1834193
18,MLA1758795376,2012,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,167000,Nafta,4,Delantera,2,5.0,Manual,2,5800.0,0,Argentina,Buenos Aires,Avellaneda,-34.6648394,-58.3628061
19,MLA1762555182,1996,Volkswagen,7,Gol,27,1.6 Gld,1.6,54.0,3,100000,Diésel,0,Delantera,2,5.0,Manual,2,796.8127490039841,0,Argentina,Buenos Aires,Ezeiza,-34.81681415,-58.54742335052262
20,MLA1764601858,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,107000,Nafta,4,Delantera,2,5.0,Manual,2,4940.239043824701,0,Argentina,Buenos Aires,General San Martín,-34.5762765,-58.5388435
21,MLA1760873496,2011,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,156000,Nafta,4,Delantera,2,5.0,Manual,2,4750.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
22,MLA1754698190,2011,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,210000,Nafta,4,Delantera,2,5.0,Manual,2,3984.06374501992,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
23,MLA1778950540,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,86000,Nafta,4,Delantera,2,5.0,Manual,2,6300.0,0,Argentina,Buenos Aires,Tigre,-34.4226513,-58.5808967
24,MLA1427243085,1997,Volkswagen,7,Gol,27,1.6 Gli Aa Dh Ll,1.6,90.0,3,115500,Nafta,4,Delantera,2,5.0,Manual,2,2788.8446215139443,0,Argentina,Buenos Aires,Pilar,-34.4570918,-58.9141609
25,MLA1426800739,2005,Volkswagen,7,Gol,27,Country 1.6,1.6,83.0,5,131000,Nafta,4,Delantera,2,5.0,Manual,2,6000.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
